AVERAGE_GENE_EXPRESSION	r0.4_C0	r0.4_C1	r0.4_C2	r0.4_C5	r0.4_C6	r0.4_C7	r0.4_C10
AL627309.1	0.000517651930841702	0.000459770114942529	0.000813008130081301	0.000217202432667246	0.00077901843676967	0.00489339391821042	0
AP006222.2	0.00010353038616834	0.0000766283524904215	0	0	0.000259672812256557	0	0
RP11-206L10.2	0.000465886737757532	0.00222222222222222	0.0016260162601626	0.0023892267593397	0.00077901843676967	0.00104858441104509	0
RP11-206L10.9	0.000517651930841702	0.000919540229885057	0.000464576074332172	0.000651607298001738	0.00077901843676967	0.00209716882209018	0.00401606425702811
FAM87B	0	0.0000766283524904215	0	0	0	0.00174764068507515	0
LINC00115	0.00502122372916451	0.00620689655172414	0.00650406504065041	0.00608166811468288	0.0106465853025188	0.0104858441104509	0
FAM41C	0.000258825965420851	0.000383141762452107	0.000464576074332172	0.000217202432667246	0.00077901843676967	0.00034952813701503	0.00401606425702811
RP11-54O7.1	0	0.0000766283524904215	0.000232288037166086	0	0	0	0
SAMD11	0.000155295579252511	0.000153256704980843	0	0	0.000259672812256557	0	0
NOC2L	0.0544569831245471	0.0577777777777778	0.054006968641115	0.0629887054735013	0.0610231108802908	0.0657112897588256	0.0240963855421687
KLHL17	0.00165648617869345	0.000842911877394636	0.00104529616724739	0.00130321459600348	0.00103869124902623	0.00034952813701503	0
PLEKHN1	0.000155295579252511	0.0021455938697318	0.00127758420441347	0.000217202432667246	0.000259672812256557	0.00104858441104509	0
RP11-54O7.17	0.0000517651930841702	0	0	0	0	0.00209716882209018	0
HES4	0.00144942540635677	0.000766283524904215	0.000929152148664344	0.00108601216333623	0.000519345624513113	0.023068857042992	0.00401606425702811
RP11-54O7.11	0.0000517651930841702	0.000153256704980843	0.000232288037166086	0	0.000259672812256557	0	0
ISG15	0.150481416295683	0.246590038314176	0.197560975609756	0.228496959165943	0.183329005453129	0.406151695211465	0.0883534136546185
AGRN	0.000465886737757532	0.000153256704980843	0.000116144018583043	0	0	0.00209716882209018	0
RP11-54O7.18	0.0000517651930841702	0.0000766283524904215	0	0	0	0.00034952813701503	0
C1ORF159	0.00450357179832281	0.00567049808429119	0.00383275261324042	0.00608166811468288	0.00311607374707868	0.00489339391821042	0.00401606425702811
TTLL10	0.00010353038616834	0.000766283524904215	0.000580720092915215	0.00152041702867072	0.00155803687353934	0	0
TNFRSF18	0.00144942540635677	0.0818390804597701	0.0126596980255517	0.0870981754995656	0.0236302259153467	0.00524292205522545	0.00401606425702811
TNFRSF4	0.0140801325188943	0.157241379310345	0.0197444831591173	0.0399652476107732	0.00441443780836146	0.0111849003844809	0.00401606425702811
SDF4	0.0803913448597163	0.124444444444444	0.107084785133566	0.199609035621199	0.100493378343287	0.101363159734359	0.072289156626506
B3GALT6	0.00693653587327881	0.00727969348659004	0.00801393728222997	0.0108601216333623	0.0096078940534926	0.0188745193988116	0.00401606425702811
FAM132A	0.000310591158505021	0.000306513409961686	0.000696864111498258	0.000868809730668983	0.000259672812256557	0.000699056274030059	0
RP5-902P8.12	0.000362356351589191	0.000153256704980843	0.000232288037166086	0.000434404865334492	0.000259672812256557	0.00034952813701503	0
